epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,21700.5,0.46477,0.27222,0.82916,0.97058,0.96239,0.98216,0.90551,0.34229,0.20219,0.80926,0.000810841,0.000810841,0.000810841
146,21810.1,0.46624,0.27423,0.82859,0.97108,0.96219,0.98222,0.9057,0.34171,0.20179,0.80913,0.000808389,0.000808389,0.000808389
147,21919.1,0.46726,0.27438,0.83017,0.97128,0.96218,0.98235,0.90637,0.34117,0.20156,0.80901,0.000805925,0.000805925,0.000805925
148,22028,0.46099,0.27176,0.82932,0.97129,0.9621,0.98239,0.90653,0.34065,0.20128,0.80887,0.00080345,0.00080345,0.00080345
149,22137.7,0.45627,0.26669,0.82683,0.97144,0.96281,0.9825,0.90647,0.34023,0.20091,0.80877,0.000800963,0.000800963,0.000800963
150,22246.8,0.45831,0.2694,0.82867,0.97155,0.96237,0.98259,0.9069,0.33973,0.20074,0.80864,0.000798464,0.000798464,0.000798464
151,22355.3,0.45777,0.26767,0.82724,0.97247,0.96339,0.98396,0.90706,0.33927,0.20037,0.80853,0.000795954,0.000795954,0.000795954
152,22464.3,0.45595,0.26903,0.82717,0.97154,0.9646,0.98391,0.90691,0.33875,0.20022,0.80842,0.000793432,0.000793432,0.000793432
153,22573.6,0.45824,0.26816,0.82894,0.97223,0.96361,0.98397,0.90781,0.33833,0.19997,0.80833,0.000790898,0.000790898,0.000790898
154,22683.1,0.45067,0.26484,0.82701,0.97203,0.96363,0.98386,0.90794,0.33783,0.1999,0.80822,0.000788354,0.000788354,0.000788354
155,22793.2,0.45182,0.26613,0.82564,0.9723,0.96313,0.98389,0.90825,0.33729,0.19959,0.8081,0.000785798,0.000785798,0.000785798
156,22901.8,0.45212,0.26563,0.82576,0.97341,0.962,0.98358,0.90887,0.33679,0.19948,0.80801,0.000783231,0.000783231,0.000783231
157,23010.7,0.45382,0.26604,0.82537,0.974,0.96201,0.98362,0.90898,0.33623,0.19912,0.8079,0.000780653,0.000780653,0.000780653
158,23120.3,0.45206,0.26641,0.82594,0.97431,0.96182,0.98373,0.90905,0.33579,0.19885,0.80783,0.000778065,0.000778065,0.000778065
159,23230.6,0.45143,0.2662,0.82615,0.97494,0.96164,0.98387,0.90927,0.33528,0.19855,0.80771,0.000775465,0.000775465,0.000775465
160,23340.5,0.45094,0.26577,0.82504,0.97492,0.9615,0.98393,0.90919,0.33472,0.19836,0.80761,0.000772855,0.000772855,0.000772855
161,23449.1,0.44969,0.26595,0.82636,0.97515,0.96118,0.98393,0.90984,0.33417,0.19806,0.80753,0.000770234,0.000770234,0.000770234
162,23560.2,0.44306,0.26182,0.82498,0.97597,0.96133,0.98394,0.91004,0.33368,0.19784,0.80743,0.000767603,0.000767603,0.000767603
163,23672.6,0.44518,0.26284,0.82358,0.97642,0.96109,0.984,0.91042,0.33328,0.19759,0.80732,0.000764961,0.000764961,0.000764961
164,23790.2,0.44787,0.26368,0.82687,0.97658,0.96118,0.98408,0.91064,0.33277,0.19731,0.80722,0.00076231,0.00076231,0.00076231
165,23902.9,0.44514,0.26137,0.82548,0.97615,0.96182,0.98413,0.91127,0.33225,0.19705,0.80712,0.000759648,0.000759648,0.000759648
166,24013,0.44291,0.26153,0.82402,0.97591,0.96213,0.98424,0.91147,0.33179,0.19684,0.80701,0.000756976,0.000756976,0.000756976
167,24123.6,0.44046,0.26086,0.82444,0.97543,0.96264,0.98424,0.91187,0.33135,0.19664,0.80692,0.000754293,0.000754293,0.000754293
168,24235.9,0.43871,0.25824,0.82466,0.97409,0.96421,0.98466,0.91196,0.33089,0.19658,0.8068,0.000751602,0.000751602,0.000751602
169,24344.6,0.44086,0.25924,0.82405,0.97425,0.96395,0.98455,0.91256,0.33037,0.19622,0.80668,0.0007489,0.0007489,0.0007489
170,24453.1,0.43997,0.25915,0.82437,0.9802,0.95889,0.98407,0.91214,0.32993,0.19607,0.80656,0.000746189,0.000746189,0.000746189
171,24561.2,0.43757,0.25646,0.8229,0.97554,0.96264,0.98449,0.91276,0.32956,0.19596,0.80646,0.000743468,0.000743468,0.000743468
172,24669.8,0.43698,0.25693,0.82291,0.97551,0.96254,0.98448,0.91326,0.329,0.1958,0.80636,0.000740738,0.000740738,0.000740738
173,24778.6,0.434,0.25478,0.82165,0.97624,0.96254,0.98445,0.91283,0.32857,0.1956,0.80628,0.000737998,0.000737998,0.000737998
174,24887,0.43497,0.25532,0.82273,0.97585,0.96271,0.98466,0.91325,0.32811,0.19531,0.80619,0.00073525,0.00073525,0.00073525
175,24998,0.43369,0.25591,0.82403,0.97519,0.96303,0.98474,0.91364,0.32775,0.19508,0.8061,0.000732492,0.000732492,0.000732492
176,25111.5,0.43503,0.25643,0.82291,0.97523,0.96324,0.98485,0.91379,0.32743,0.19495,0.806,0.000729725,0.000729725,0.000729725
